"name","industry","sector","website","rank"
"Walmart","General Merchandisers","Retailing","http://www.walmart.com",1
"Exxon Mobil","Petroleum Refining","Energy","http://www.exxonmobil.com",2
"Chevron","Petroleum Refining","Energy","http://www.chevron.com",3
